%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1440652503351823454,0.591165655816,-0.00175562799756,-0.102264684827,0.70416232343,-0.0646054866714,0.704313994308,0.0626366568061
1440652503351823454,0.591165655816,-0.00175562799756,-0.102264684827,0.70416232343,-0.0646054866714,0.704313994308,0.0626366568061
1440652503452918226,0.59116004098,-0.00174220818267,-0.102273282172,0.704177486277,-0.0645847048558,0.704304144419,0.0625983695728
1440652503553874253,0.591160178687,-0.00173142582148,-0.102276741664,0.704183087441,-0.0645524238034,0.704303140064,0.0625799555713
1440652503654790183,0.591165404918,-0.00175166128839,-0.102271300252,0.704166041449,-0.0646112254738,0.704309513374,0.0626393245785
1440652503755877765,0.591156449875,-0.00173990428164,-0.102279140346,0.704177109817,-0.0645804654718,0.7043045327,0.0626026094279
1440652503856888735,0.591157167217,-0.00174800405697,-0.102273582201,0.704171357805,-0.0645773569197,0.704312562596,0.0625801724949
1440652503957860696,0.591168233305,-0.00177798219885,-0.102266558491,0.704168358077,-0.0646379033589,0.704303387706,0.062654632704
1440652504058787337,0.591152819356,-0.00173655351776,-0.102264176533,0.704162273452,-0.0645532942757,0.704322460349,0.0625958200841
1440652504159621898,0.591166636207,-0.0017496207534,-0.102273280204,0.704175159009,-0.0646100605383,0.704301892018,0.0626237208387
1440652504260578284,0.591160903134,-0.00174306752562,-0.102284045925,0.70418511664,-0.0645664563299,0.704298086689,0.0625995152141
1440652504361492930,0.59117702033,-0.00178380833715,-0.102274859239,0.704176100853,-0.0646451518435,0.704294877025,0.0626558020213
1440652504452289434,0.591147506168,-0.00172476033661,-0.102277342929,0.704182631878,-0.0645481547821,0.704303607461,0.0625842247924
1440652504553348495,0.591153107991,-0.00172694121105,-0.102286005819,0.704186933325,-0.0645707084507,0.704297750582,0.0625784713057
1440652504654944953,0.591165772691,-0.0017470834902,-0.10228068754,0.704188609948,-0.0646144064168,0.704289950574,0.0626022812984
1440652504755861265,0.591143621342,-0.00170672307,-0.102281826897,0.704188866435,-0.0645412826014,0.70430037566,0.0625575261228
1440652504856865458,0.591155519943,-0.00174588751424,-0.102277956541,0.704174694736,-0.0646142287671,0.704301597981,0.0626279475641
1440652504957755057,0.591164980545,-0.00174015493829,-0.102264036955,0.704176566567,-0.0645846047264,0.704304318028,0.0626068649359
1440652505058553906,0.591155826788,-0.00174075762752,-0.102272243522,0.704177858984,-0.0645889022635,0.704303759958,0.0625941716943
1440652505159304824,0.591165361281,-0.0017651842858,-0.102275460214,0.704176015482,-0.0646368540759,0.70429570273,0.0626560406589
1440652505260218133,0.591151320849,-0.00172184058261,-0.102269427342,0.704172599825,-0.0645563577209,0.704314363632,0.0625675915746
1440652505361169075,0.591148498086,-0.00172215283221,-0.102270362509,0.704172997212,-0.0645437637842,0.704315493289,0.0625633955896
1440652505452116339,0.59117068966,-0.0017466891514,-0.102275268718,0.704183501735,-0.064617250029,0.704293528404,0.0626165531729
1440652505553441316,0.591149543007,-0.00171559779365,-0.102266564536,0.704177248661,-0.0645410182751,0.704311995151,0.0625577566365
1440652505654351823,0.591165823419,-0.00175359414729,-0.102272744501,0.704179082728,-0.0646283739832,0.704296423253,0.0626222078697
1440652505755307109,0.591153110877,-0.00173084611788,-0.102275674902,0.704184151613,-0.0645481953043,0.704303579742,0.0625673929633
1440652505856214267,0.591165686008,-0.00174755097708,-0.102256982528,0.704156373729,-0.0645813670183,0.704323774264,0.0626184427865
1440652505957205298,0.591154210856,-0.001731770065,-0.102281522444,0.70418223851,-0.0645607898704,0.704302473444,0.0625883797399
1440652506058124982,0.591164208042,-0.00174575284394,-0.10228015513,0.704184209092,-0.064608656344,0.704294368119,0.0626080204682
1440652506159012353,0.591045990246,-0.00167354722335,-0.102282070684,0.704226315235,-0.0645334571307,0.704266701668,0.0625231378131
1440652506259789675,0.590954423069,-0.00144174825794,-0.102271284086,0.704201046993,-0.0645327804249,0.704289768794,0.0625485990007
1440652506360642765,0.591210547796,0.00260943446721,-0.102213556138,0.704102296465,-0.0644260395505,0.704403123594,0.062493847794
