%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1440653620781055236,0.590532267964,-0.00157687704812,-0.102158618944,0.703989772698,-0.0641162411655,0.704505361488,0.0629261725423
1440653620841603466,0.590532267964,-0.00157687704812,-0.102158618944,0.703989772698,-0.0641162411655,0.704505361488,0.0629261725423
1440653620891952530,0.590762128643,-0.00172791014958,-0.102187538167,0.703912096487,-0.0652672403743,0.70459587077,0.0615841428265
1440653620932272589,0.590827531424,-0.00178270798714,-0.102201646629,0.703891342818,-0.065611927631,0.704616917444,0.0612131694177
1440653620993108948,0.590848385139,-0.00182899605206,-0.102193982177,0.703918019499,-0.0652248092418,0.704587965372,0.0616518056286
1440653621054621220,0.590880341577,-0.00182087299359,-0.102192772951,0.703939779083,-0.0651859078919,0.704579890877,0.0615366736843
1440653621116884858,0.590896393323,-0.00190175899297,-0.102140197125,0.703861687981,-0.0656564270199,0.704651052487,0.0611134356035
1440653621177464788,0.590917399662,-0.00189249738805,-0.102130816839,0.703857256149,-0.0656725762667,0.704665367866,0.0609819237461
1440653621239491338,0.590954452667,-0.00193462283496,-0.102146911345,0.703824940283,-0.0658081043981,0.704699166049,0.060818025301
1440653621299942746,0.590996900137,-0.00196729228817,-0.10213312521,0.703805454156,-0.0661422807225,0.704721119994,0.0604253625158
1440653621360460351,0.591013531296,-0.0020236336933,-0.102122340928,0.703807059557,-0.0660083926142,0.704719466731,0.0605721737426
1440653621431017324,0.59100679317,-0.00202779255771,-0.102117731728,0.703804910595,-0.065925679911,0.704728931574,0.0605771041949
1440653621492402284,0.591018199676,-0.00204635273127,-0.10211637884,0.703804704599,-0.0659170083929,0.704728517198,0.0605937524637
1440653621552864952,0.591069791391,-0.00206553203882,-0.102104780946,0.703765157976,-0.0662349517597,0.704775058804,0.0601635277546
1440653621613363400,0.591094540639,-0.00207636151196,-0.102106835325,0.703746117215,-0.0664734273062,0.704793876465,0.0599022342181
1440653621683963363,0.591094137118,-0.00209342827916,-0.102106943509,0.703745303762,-0.0664824488042,0.704793018062,0.0599118779971
1440653621756343687,0.591096292886,-0.0020880461496,-0.102110834629,0.703753138972,-0.0664949368599,0.704784290693,0.0599086500489
1440653621817728279,0.591151055872,-0.00211673653647,-0.102116711711,0.703728864176,-0.0664358870146,0.704821052324,0.0598267736415
1440653621888195054,0.59104282708,-0.00232040679607,-0.102050615538,0.703684569755,-0.0673018617483,0.704876601124,0.0587150992634
1440653621952022670,0.591086526494,-0.00239056293088,-0.102033271002,0.703676822277,-0.0671975046607,0.704889934568,0.0587673829804
1440653622013861618,0.591086959299,-0.00240021092473,-0.102015676225,0.703667977616,-0.0671685389394,0.704906748784,0.0587046861308
1440653622075048549,0.59112504671,-0.00242672910449,-0.102080670947,0.703666117221,-0.0672693094245,0.704908156294,0.058594595945
1440653622137472162,0.591149991756,-0.00246533801397,-0.102069363836,0.703678410394,-0.0674024878327,0.704896450251,0.058434525766
1440653622199799078,0.591141789019,-0.00250417995135,-0.102032466531,0.703655339795,-0.0674368401276,0.70491846132,0.0584071764652
1440653622261268983,0.591132319172,-0.00250297607021,-0.1020138023,0.703640998465,-0.0673986027333,0.704937590422,0.0583932122662
1440653622332641139,0.591186307844,-0.00251208796024,-0.102030523319,0.703604386313,-0.0678118309362,0.704975016252,0.0579020691003
1440653622396217154,0.591263404804,-0.00260970881475,-0.102031544983,0.703685423721,-0.0676539056805,0.704924022815,0.0577225739791
1440653622456584477,0.591274630359,-0.00262997029105,-0.102012032737,0.703759034971,-0.0671282765037,0.704859496572,0.0582246106153
1440653622518181608,0.591324859844,-0.00269148417425,-0.102012640253,0.703772873302,-0.0671473441452,0.704845355056,0.0582065497499
1440653622581917820,0.59132492479,-0.00269276578862,-0.10201208418,0.703770820593,-0.0671451502787,0.704847446499,0.0582085735909
1440653622652465732,0.591390624145,-0.00273599895741,-0.101981978654,0.703745410056,-0.0674838658394,0.704875589903,0.0577817309907
1440653622712943835,0.591402323595,-0.00273782930221,-0.101973646582,0.703744258787,-0.0674786303215,0.704884220779,0.0576965161157
1440653622775531136,0.591410663118,-0.00275301267318,-0.10197920994,0.703740773615,-0.0675129936028,0.704881275435,0.0577347970271
1440653622836039173,0.591411908667,-0.00278677481975,-0.101943236202,0.703708021324,-0.0674826787079,0.704921375485,0.057679833415
1440653622907442726,0.591449726966,-0.00279693165902,-0.101943114539,0.703703397073,-0.0675004515586,0.704931681932,0.0575894243338
1440653622980866169,0.591396855141,-0.00283713409062,-0.101926146791,0.703729129902,-0.0673727839696,0.70490742655,0.0577212240203
1440653623041268959,0.591414737476,-0.00287939209781,-0.101780099179,0.703515573144,-0.0696864793943,0.705076818948,0.0554645140272
1440653623101686723,0.591379777887,-0.00292335832325,-0.10176791938,0.703478220831,-0.0697841502965,0.705096905652,0.0555600470147
1440653623162212682,0.591323573994,-0.00295027123687,-0.101694888344,0.703388950118,-0.0698065569509,0.705188327351,0.0555018236388
1440653623234581125,0.591371987642,-0.00318106557969,-0.0998300145937,0.705333895138,-0.069014932767,0.703293020889,0.0558566217544
1440653623295083577,0.591364184613,-0.00318767531855,-0.0998427810892,0.705333855564,-0.0690187249619,0.703290638965,0.0558824207037
1440653623366933722,0.591188974792,-0.00317176237938,-0.0997506106859,0.705384259216,-0.0685866236714,0.703250461768,0.0562824122344
1440653623429647943,0.591237796332,-0.00323233785028,-0.0997590072218,0.705338059506,-0.0688419725458,0.703296905978,0.0559684435216
